2024-04-03|09:15|Fishing Rod|Pro Bass|150.00
2024-04-06|14:30|Tackle Box|Pro Bass|45.00
2024-04-09|11:45|Fishing Reel|Pro Bass|75.00
2024-04-11|16:20|Fishing Lures Set|Pro Bass|30.00
2024-04-14|10:00|Fishing Line|Pro Bass|12.50
2024-04-16|13:15|Fish Finder|Pro Bass|200.00
2024-04-19|08:45|Fishing Net|Pro Bass|20.00
2024-04-21|15:30|Fishing Boots|Pro Bass|80.00
2024-04-24|11:20|Fishing Hat|Pro Bass|15.00
2024-04-26|14:00|Fishing Gloves|Pro Bass|25.00
2024-04-28|09:55|Fishing Tackle Bag|Pro Bass|35.00
2024-04-29|12:40|Fishing Waders|Pro Bass|120.00
2024-04-30|16:05|Fishing Sunglasses|Pro Bass|50.00
2024-04-30|18:30|Fishing Chair|Pro Bass|60.00
2024-04-30|19:45|Fishing Vest|Pro Bass|35.00
2024-03-01|10:30|Men's Pullover |Patagonia|120.00
2024-03-03|13:45|Women's Jacket|Patagonia| 150.00
2024-03-06|11:20|Men's Jacket|Patagonia| 199.99
2024-03-09|16:20|Women's Pullover |Patagonia|89.99
2024-03-11|10:00|Men's 3L Jacket|Patagonia| 149.00
2024-03-14|13:15|Women's Fleece |Patagonia|99.00
2024-03-17|08:45|Men's Capilene® |Patagonia|59.00
2024-03-19|15:30|Women's Sweater|Patagonia| 229.00
2024-03-22|11:20|Men's Retro Jacket |Patagonia|139.00
2024-03-25|14:00|Women's Pullower |Patagonia|129.00
2024-03-27|09:55|Men's Pants | Patagonia|89.00
2024-03-29|12:40|Women's Pants|Patagonia|79.00
2024-03-30|18:30|Women's Jacket|Patagonia|99.00
2024-03-31|19:45|Men's Bottoms|Patagonia|129.00
2024-01-05|09:15|Organic Kale|Trader Joe's|6.99
2024-01-10|14:30|Avocado Oil|Trader Joe's|8.50
2024-01-15|11:45|Organic Quinoa|Trader Joe's|12.99
2024-01-20|16:20|Almond Butter|Trader Joe's|7.99
2024-01-25|10:00|Wild Salmon Fillet|Trader Joe's|14.99
2024-02-03|13:15|Organic Yogurt|Trader Joe's|5.49
2024-02-07|08:45|Chia Seeds|Trader Joe's|6.99
2024-02-12|15:30|Frozen Berries|Trader Joe's|7.99
2024-02-18|11:20|Almond Milk|Trader Joe's|3.49
2024-02-22|14:00|Hummus|Trader Joe's|3.99
2024-03-01|09:55|Organic Spinach|Trader Joe's|4.99
2024-03-04|12:40|Coconut Water|Trader Joe's|2.99
2024-03-10|16:05|Veggie Burgers|Trader Joe's|6.49
2024-03-15|18:30|Blueberry Muffins|Trader Joe's|4.99
2024-03-20|19:45|Organic Eggs|Trader Joe's|3.99
2024-03-22|10:30|Honeycrisp Apples|Trader Joe's|3.49
2024-03-26|14:15|Cauliflower Gnocchi|Trader Joe's|2.99
2024-04-01|09:15|Avocado|Trader Joe's|1.99
2024-04-05|14:30|Almonds|Trader Joe's|6.99
2024-04-10|11:45|Steel-Cut Oats|Trader Joe's |2.49
2024-04-14|16:20|Frozen Mango|Trader Joe's|3.99
2024-04-18|10:00|Black Beans|Trader Joe's|0.99
2024-04-22|13:15|Garlic|Trader Joe's|0.79
2024-04-27|08:45|Coconut Milk|Trader Joe's|2.49
2024-05-01|15:30|Quinoa Chips|Trader Joe's|3.99
2024-05-05|11:20|Pumpkin Seeds|Trader Joe's|4.99
2024-05-09|14:00|Green Tea|Trader Joe's|2.49
2024-05-14|09:55|Bananas|Trader Joe's|0.59
2024-05-19|12:40|Whole Grain Bread|Trader Joe's|2.99
2024-05-23|16:05|Frozen Peas|Trader Joe's|1.99
2024-05-28|18:30|Quinoa Salad|Trader Joe's|4.99
2024-06-02|19:45|Tofu|Trader Joe's | 2.49
2024-06-07|10:30|Almond Flour|Trader Joe's | 7.99
2024-06-11|14:15|Brown Rice|Trader Joe's | 1.99
2024-06-16|09:15|Chickpeas|Trader Joe's|1.49
2024-06-20|14:30|Sunflower Seeds|Trader Joe's|3.99
2024-06-25|11:45|Soy Milk|Trader Joe's|2.99
2024-06-29|16:20|Corn Tortillas|Trader Joe's|1.25
2024-07-03|09:15|Dark Chocolate|Trader Joe's|2.99
2024-07-08|14:30|Baby Spinach|Trader Joe's|2.49
2024-07-12|11:45|Frozen Strawberries|Trader Joe's|3.99
2024-07-17|16:20|Greek Yogurt|Trader Joe's|4.49
2024-07-22|10:00|Flaxseed|Trader Joe's|3.99
2024-07-26|13:15|Cottage Cheese|Trader Joe's|1.99
2024-07-31|08:45|Broccoli|Trader Joe's|1.99
2024-08-04|15:30|Organic Milk|Trader Joe's|4.49
2024-08-09|12:40|Whole Wheat Pasta|Trader Joe's|1.99
2024-08-14|09:55|Chia Seeds|Trader Joe's|6.99
2024-08-19|12:40|Frozen Blueberries|Trader Joe's|5.99
2024-08-23|16:05|Organic Breast|Trader Joe's|7.99
2023-01-01 |09:15|Pixel 6|Google|699.00
2023-01-05 |14:30|Chromecast Ultra|Google|69.00
2023-01-10 |11:45|Nest Hub|Google|129.00
2023-01-15 |16:20|Home Mini|Google|49.00
2023-01-20 |10:00|Pixelbook Go|Google|649.00
2023-02-02 |13:15|Nest Thermostat|Google|249.00
2023-02-06 |08:45|Pixel Buds|Google|179.00
2023-02-11 |15:30|Nest Cam|Google|199.00
2023-02-16 |11:20|Wifi Router|Google|99.00
2023-02-21 |14:00|Google TV|Google|49.99
2023-03-01 |09:55|Nest Hello Doorbell|Google|229.00
2023-03-06 |12:40|Stadia Controller|Google|69.00
2023-03-11 |16:05|Nest Protect|Google|119.00
2023-03-16 |18:30|Pixel Stand|Google|79.00
2023-03-21 |19:45|Nest Mini|Google|49.00
2023-03-24 |10:30|Pixel 6 Pro|Google|899.00
2023-03-28 |14:15|Nest Thermostat|Google|249.00
2023-04-02 |09:15|Pixel 5|Google|599.00
2023-04-06 |14:30|Nest Audio|Google|99.00
2023-04-11 |11:45|Chromecast Audio|Google|35.00
2023-04-16 |16:20|Pixel Slate|Google|799.00
2023-04-20 |10:00|Nest Wifi|Google|169.00
2023-04-25 |13:15|Daydream View|Google|99.00
2023-04-30 |08:45|Nest Secure|Google|399.00
2023-05-05 |15:30|Pixel 4a|Google|499.00
2023-05-09 |11:20|Chromecast|Google|29.00
2023-05-14 |14:00|Nest Thermostat E|Google|169.00
2023-05-19 |09:55|Pixelbook|Google|999.00
2023-05-24 |12:40|Nest Cam Outdoor|Google|199.00
2023-05-28 |16:05|Nest Hub Max|Google|229.00
2023-06-02 |18:30|Pixel 4|Google|799.00
2023-06-07 |19:45|Chromecast Audio|Google|35.00
2023-06-12 |10:30|Home Max|Google|299.00
2023-06-17 |14:15|Nest Thermostat|Google|249.00
2023-06-22 |09:15|Pixelbook Go|Google|649.00
2023-06-26 |14:30|Nest Hub|Google|129.00
2023-07-01 |11:45|Nest Cam Indoor|Google|129.00
2023-07-06 |16:20|Pixel 3a|Google|399.00
2023-07-11 |10:00|Chromecast Ultra|Google|69.00
2023-07-16 |13:15|Thermostat|Google|249.00
2023-07-20 |08:45|Pixel 3|Google|499.00
2023-07-25 |15:30|Home|Google|129.00
2023-07-30 |12:40|Chromecast TV|Google|49.99
2023-08-04 |16:05|Nest Protect|Google|119.00
2023-08-09 |19:45|Pixelbook|Google|999.00
2023-08-14 |10:30|Nest Wifi Router|Google|169.00
2023-08-19 |14:15|Pixel 4|Google|799.00
2023-08-24 |09:15|Chromecast Audio|Google|35.00
2023-08-29 |13:15|Nest Hello Doorbell|Google|229.00
2023-09-03 |18:30|Pixel 3a|Google|399.00
2023-09-08 |11:45|Chromecast Ultra|Google|69.00
2023-09-13 |16:20|Learning Thermostat|Google|249.00
2023-09-18 |09:55|Pixelbook Go|Google|649.00
2023-09-23 |12:40|Nest Hub|Google|129.00
2023-09-28 |15:30|Nest Cam Indoor|Google|129.00
2023-10-03 |10:00|Pixel 6|Google|699.00
2023-10-08 |13:15|Chromecast|Google|29.00
2023-10-13 |16:20|Nest Hub Max|Google|229.00
2023-10-18 |11:45|Pixel 4a|Google|499.00
2023-10-23 |14:30|Home Mini|Google|49.00
2023-10-28 |09:15|Chromecast Audio|Google|35.00
2023-11-02 |12:40|Nest Thermostat|Google|249.00
2023-11-07 |15:30|Nest Cam Outdoor|Google|199.00
2023-11-12 |10:00|Google Pixel 5|Google|599.00
2023-11-17 |13:15|Stadia Controller|Google|69.00
2023-11-22 |16:20|Nest Protect|Google|119.00
2023-11-27 |09:55|Pixel Stand|Google|79.00
2023-12-02 |12:40|Nest Mini|Google|49.00
2023-12-07 |15:30|Pixel 6 Pro|Google|899.00
2023-12-12 |10:00|Chromecast TV|Google|49.99
2024-04-30|10:11|Powerful tool|Amazon|250.00
2024-05-01|11:25|VVV|WWW|100.00
2024-05-02|11:55|iPhone|Apple|-900.00
2024-05-01|20:20|Laptop|Dell|2000.00
2024-05-03|10:05|iphone|Apple|900.00
2024-05-03|10:07|Tool|Hilti|-1000.00
2024-05-03|10:11|Clothes|Patagonia|-200.00
